"D. Leki, środki spożywcze specjalnego przeznaczenia żywieniowego oraz wyroby medyczne przysługujące świadczeniobiorcom, o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2020 r. poz. 1398, z późn. zm.)",,,,
LP,Substancja czynna,Nazwa i postać leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt
1661,Sertralinum,"Sastium, tabletki powlekane, 50 mg",30 tabl.,05909991279523
1662,Sertralinum,"Sertagen, tabl. powl., 100 mg",28 szt.,05909990046621
1663,Sertralinum,"Sertagen, tabl. powl., 50 mg",28 szt.,05909990046690
1664,Sertralinum,"Sertralina KRKA, tabl. powl., 100 mg",30 szt.,05909990919987
1665,Sertralinum,"Sertralina KRKA, tabl. powl., 50 mg",30 szt.,05909990919888
1666,Sertralinum,"Sertraline Aurobindo, tabl. powl., 50 mg",30 tabl.,05909990636136
1667,Sertralinum,"Sertraline Aurovitas, tabl. powl., 100 mg",30 tabl.,05909991355739
1668,Sertralinum,"Sertraline Aurovitas, tabl. powl., 50 mg",30 tabl.,05909991355654
1669,Sertralinum,"Sertranorm, tabl. powl., 100 mg",30 szt.,05909990663163
1670,Sertralinum,"Sertranorm, tabl. powl., 50 mg",30 szt.,05909990663040
1671,Sertralinum,"Setaloft 100 mg, tabl. powl., 100 mg",30 szt. (3 blist.po 10 szt.),05909990571963
1672,Sertralinum,"Setaloft 50 mg, tabl. powl., 50 mg",30 szt. (3 blist.po 10 szt.),05909990571925
1673,Sertralinum,"Stimuloton, tabl. powl., 50 mg",30 szt. (3 blist.po 10 szt.),05909990994816
1674,Sertralinum,"Zoloft, tabl. powl., 100 mg",28 szt. (2 blist.po 14 szt.),05909990753215
1675,Sertralinum,"Zoloft, tabl. powl., 50 mg",28 szt. (2 blist.po 14 szt.),05909990753116
1676,Sertralinum,"Zotral, tabl. powl., 100 mg",28 szt. (4 blist.po 7 szt.),05909990569472
1677,Sertralinum,"Zotral, tabl. powl., 50 mg",28 szt. (2 blist.po 14 szt.),05909990013982
1678,Simvastatinum,"Apo-Simva 10, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990618279
1679,Simvastatinum,"Apo-Simva 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990618286
1680,Simvastatinum,"Apo-Simva 40, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990618293
1681,Simvastatinum,"Simcovas, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990649532
1682,Simvastatinum,"Simcovas, tabl. powl., 20 mg",30 szt.,05909991048488
1683,Simvastatinum,"Simcovas, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909990649655
1684,Simvastatinum,"Simcovas, tabl. powl., 40 mg",30 szt.,05909991048495
1685,Simvastatinum,"Simorion, tabl. powl., 10 mg",28 szt.,05909990793853
1686,Simvastatinum,"Simorion, tabl. powl., 20 mg",28 szt.,05909990794140
1687,Simvastatinum,"Simorion, tabl. powl., 20 mg",98 szt.,05909990794157
1688,Simvastatinum,"Simorion, tabl. powl., 40 mg",28 szt.,05909990794089
1689,Simvastatinum,"Simratio 10, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909991019723
1690,Simvastatinum,"Simratio 20, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909991019822
1691,Simvastatinum,"Simratio 40, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909991019945
1692,Simvastatinum,"Simvacard 10, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909990940110
1693,Simvastatinum,"Simvacard 20, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990940219
1694,Simvastatinum,"Simvacard 40, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909990940318
1695,Simvastatinum,"Simvachol, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909990941025
1696,Simvastatinum,"Simvachol, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990941124
1697,Simvastatinum,"Simvachol, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909990941223
1698,Simvastatinum,"Simvacor, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990336623
1699,Simvastatinum,"Simvacor, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990336630
1700,Simvastatinum,"Simvagamma 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909991146115
1701,Simvastatinum,"Simvagen 20, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990743650
1702,Simvastatinum,"Simvagen 40, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909990743667
1703,Simvastatinum,"SimvaHEXAL 10, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990623273
1704,Simvastatinum,"SimvaHEXAL 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990623297
1705,Simvastatinum,"SimvaHEXAL 40, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990623334
1706,Simvastatinum,"Simvastatin Aurovitas, tabl. powl., 20 mg",28 szt.,05909990731565
1707,Simvastatinum,"Simvastatin Aurovitas, tabl. powl., 40 mg",28 szt.,05909990731671
1708,Simvastatinum,"Simvastatin Bluefish, tabl. powl., 10 mg",28 szt.,05909990723591
1709,Simvastatinum,"Simvastatin Bluefish, tabl. powl., 20 mg",28 szt.,05909990723812
1710,Simvastatinum,"Simvastatin Bluefish, tabl. powl., 20 mg",30 szt.,05909990723829
1711,Simvastatinum,"Simvastatin Bluefish, tabl. powl., 40 mg",28 szt.,05909990724031
1712,Simvastatinum,"Simvastatin Genoptim, tabl. powl., 20 mg",28 szt.,05907553016012
1713,Simvastatinum,"Simvastatin Genoptim, tabl. powl., 40 mg",28 szt.,05907553016029
1714,Simvastatinum,"Simvasterol, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909990927616
1715,Simvastatinum,"Simvasterol, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990927715
1716,Simvastatinum,"Simvasterol, tabl. powl., 40 mg",28 szt. (4 blist.po 7 szt.),05909990927838
1717,Simvastatinum,"Vasilip, tabl. powl., 10 mg",28 szt.,05909990914012
1718,Simvastatinum,"Vasilip, tabl. powl., 20 mg",28 szt.,05909990914111
1719,Simvastatinum,"Vasilip, tabl. powl., 40 mg",28 szt.,05909990982714
1720,Simvastatinum,"Vastan, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909991073114
1721,Simvastatinum,"Vastan, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909991073213
1722,Simvastatinum,"Ximve, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990935116
1723,Simvastatinum,"Ximve, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990055722
1724,Simvastatinum,"Ximve, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990935215
1725,Simvastatinum,"Ximve, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990935314
1726,Simvastatinum,"Zocor 10, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909990365913
1727,Simvastatinum,"Zocor 20, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990366026
1728,Simvastatinum,"Zocor 40, tabl. powl., 40 mg",28 szt. (2 blist.po 14 szt.),05909990769124
1729,Solifenacini succinas,"Adablok, tabl. powl., 10 mg",30 szt.,05906414003758
1730,Solifenacini succinas,"Adablok, tabl. powl., 5 mg",30 szt.,05906414003741
1731,Solifenacini succinas,"Beloflow, tabl. powl., 10 mg",30 szt.,05909991405960
1732,Solifenacini succinas,"Beloflow, tabl. powl., 10 mg",90 szt.,05909991405991
1733,Solifenacini succinas,"Beloflow, tabl. powl., 5 mg",30 szt.,05909991405922
1734,Solifenacini succinas,"Beloflow, tabl. powl., 5 mg",90 szt.,05909991405953
1735,Solifenacini succinas,"Silamil, tabl. powl., 10 mg",30 szt.,05909991339135
1736,Solifenacini succinas,"Silamil, tabl. powl., 5 mg",30 szt.,05909991422394
1737,Solifenacini succinas,"Solifenacin Stada, tabl. powl., 10 mg",30 szt.,05909991340896
1738,Solifenacini succinas,"Solifenacin Stada, tabl. powl., 5 mg",30 szt.,05909991340872
1739,Solifenacini succinas,"Solifurin, tabl. powl., 10 mg",30 szt.,05909991351304
1740,Solifenacini succinas,"Solifurin, tabl. powl., 5 mg",30 szt.,05909991351298
1741,Solifenacini succinas,"Solinco, tabl. powl., 10 mg",30 szt.,05901720140388
1742,Solifenacini succinas,"Solinco, tabl. powl., 5 mg",30 szt.,05901720140340
1743,Solifenacini succinas,"Soreca, tabl. powl., 10 mg",30 szt.,05909991371777
1744,Solifenacini succinas,"Soreca, tabl. powl., 5 mg",30 szt.,05909991371753
1745,Solifenacini succinas,"Uronorm, tabl. powl., 10 mg",30 szt.,05909991312640
1746,Solifenacini succinas,"Uronorm, tabl. powl., 5 mg",30 szt.,05909991312633
1747,Solifenacini succinas,"Vesisol, tabl. powl., 10 mg",30 szt.,05909991140069
1748,Solifenacini succinas,"Vesisol, tabl. powl., 5 mg",30 szt.,05909991139995
1749,Solifenacini succinas,"Vesoligo, tabl. powl., 10 mg",30 szt.,05906720536148
1750,Solifenacini succinas,"Vesoligo, tabl. powl., 5 mg",30 szt.,05906720536117
1751,Solifenacini succinas,"Zevesin, tabl. powl., 10 mg",30 szt.,05909991382308
1752,Solifenacini succinas,"Zevesin, tabl. powl., 5 mg",30 szt.,05909991382278
1753,Sotaloli hydrochloridum,"Sotalol Aurovitas, tabl., 40 mg",60 szt.,05909991357160
1754,Sotalolum,"Biosotal 40, tabl., 40 mg",60 szt. (6 blist.po 10 szt.),05909990365715
1755,Sotalolum,"Biosotal 80, tabl., 80 mg",30 szt. (3 blist.po 10 szt.),05909990365616
1756,Sotalolum,"SotaHEXAL 160, tabl., 160 mg",20 szt. (2 blist.po 10 szt.),05909990309115
1757,Sotalolum,"SotaHEXAL 40, tabl., 40 mg",20 szt. (2 blist.po 10 szt.),05909991014711
1758,Sotalolum,"SotaHEXAL 80, tabl., 80 mg",20 szt. (2 blist.po 10 szt.),05909990309016
1759,Spironolactonum,"Finospir, tabl., 100 mg",30 szt.,05909990965977
1760,Spironolactonum,"Finospir, tabl., 25 mg",100 szt.,05909990965861
1761,Spironolactonum,"Finospir, tabl., 25 mg",30 szt.,05909990965854
1762,Spironolactonum,"Finospir, tabl., 50 mg",100 szt.,05909990965885
1763,Spironolactonum,"Finospir, tabl., 50 mg",30 szt.,05909990965878
1764,Spironolactonum,"Spironol 100, tabl. powl., 100 mg",20 szt.,05909990673124
1765,Spironolactonum,"Spironol, tabl. powl., 50 mg",30 szt.,05909991244651
1766,Spironolactonum,"Spironol, tabl. powl., 50 mg",60 szt.,05909991244668
1767,Spironolactonum,"Spironol, tabl., 25 mg",100 szt.,05909990110223
1768,Spironolactonum,"Spironol, tabl., 25 mg",20 szt.,05909990110216
1769,Spironolactonum,"Verospiron, kaps. twarde, 100 mg",30 szt.,05909990488513
1770,Spironolactonum,"Verospiron, kaps. twarde, 50 mg",30 szt.,05909990488414
1771,Spironolactonum,"Verospiron, tabl., 25 mg",20 szt.,05909990117215
1772,Sulfasalazinum,"Salazopyrin EN, tabl. dojel., 500 mg",100 szt. (1 poj.po 100 szt.),05909990864423
1773,Sulfasalazinum,"Salazopyrin EN, tabl. dojel., 500 mg",50 szt. (1 poj.po 50 szt.),05909990864416
1774,Sulfasalazinum,"Sulfasalazin EN Krka, tabl. dojel., 500 mg",100 szt.,05909990283323
1775,Sulfasalazinum,"Sulfasalazin EN Krka, tabl. dojel., 500 mg",50 szt.,05909990283316
1776,Sulfasalazinum,"Sulfasalazin Krka, tabl. powl., 500 mg",50 szt.,05909990283217
1777,Tafluprostum,"Taflotan Multi, krople do oczu, roztwór, 15 µg/ml",1 but.po 3 ml,05909991372927
1778,Tafluprostum + Timololum,"Taptiqom, krople do oczu, roztwór, 0,015+5 mg/ml","30 poj. jednodawkowych 0,3 ml",05909991220327
1779,Tamsulosini hydrochloridum,"Adatam, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909990622726
1780,Tamsulosini hydrochloridum,"Adatam, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",90 szt.,05906414001501
1781,Tamsulosini hydrochloridum,"Bazetham Retard, tabl. o przedł. uwalnianiu, 0,4 mg",90 szt.,05909990894642
1782,Tamsulosini hydrochloridum,"Bazetham Retard, tabl. o przedłużonym uwalnianiu, 0,4 mg",30 szt.,05909990894598
1783,Tamsulosini hydrochloridum,"Symlosin SR, kapsułki o przedłużonym uwalnianiu, twarde, 0,4 mg",90 szt.,05909991136321
1784,Tamsulosini hydrochloridum,"Tamiron, kaps. o przedłużonym uwalnianiu, twarde, 0,4 mg",30 szt.,05909991332709
1785,Tamsulosini hydrochloridum,"Tamoptim, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909990570386
1786,Tamsulosini hydrochloridum,"Tamoptim, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",60 szt.,05907626708400
1787,Tamsulosini hydrochloridum,"Tamoptim, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",90 szt.,05907626708417
1788,Tamsulosini hydrochloridum,"Tanyz ERAS, tabl. o przedłużonym uwalnianiu, 0,4 mg",30 szt.,05909990847808
1789,Tamsulosini hydrochloridum,"Uprox XR, tabl. o przedł. uwalnianiu, 0,4 mg",60 szt.,05909991191214
1790,Tamsulosini hydrochloridum,"Uprox XR, tabl. o przedł. uwalnianiu, 0,4 mg",90 szt.,05909991199081
1791,Tamsulosini hydrochloridum,"Uprox, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",90 szt.,05907587609235
1792,Tamsulosini hydrochloridum,"Urostad, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909997216393
1793,Tamsulosinum,"Apo-Tamis, kaps. o przedłużonym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990045006
1794,Tamsulosinum,"Apo-Tamis, kaps. o przedłużonym uwalnianiu, twarde, 0,4 mg",90 szt.,05909990900794
1795,Tamsulosinum,"Fokusin, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990573585
1796,Tamsulosinum,"Fokusin, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",90 szt. (9 blist.po 10 szt.),05909990573592
1797,Tamsulosinum,"Omnic 0,4, kaps. o zmodyfikowanym uwalnianiu, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990716418
1798,Tamsulosinum,"Omnic Ocas 0,4, tabl. powl. o przedłużonym uwalnianiu, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990219070
1799,Tamsulosinum,"Omsal 0,4 mg kapsułki o przedłużonym uwalnianiu, kaps. o przedłużonym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990586196
1800,Tamsulosinum,"Prostamnic, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990573257
1801,Tamsulosinum,"Ranlosin, kaps. o przedłużonym uwalnianiu, 0,4 mg",30 szt.,05909990048007
1802,Tamsulosinum,"Ranlosin, kapsułki o przedłużonym uwalnianiu, 0,4 mg",90 szt.,05909991092184
1803,Tamsulosinum,"Symlosin SR, kaps. o przedłużonym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990044382
1804,Tamsulosinum,"TamisPras, tabl. o przedłużonym działaniu, 0,4 mg",30 szt.,05909990980451
1805,Tamsulosinum,"Tamsudil, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909997225937
1806,Tamsulosinum,"Tamsudil, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990565948
1807,Tamsulosinum,"Tamsudil, kaps. twarde o zmodyfikowanym uwalnianiu, 0,4 mg",90 szt. (9 blist.po 10),05909990565962
1808,Tamsulosinum,"Tamsugen 0,4 mg, kapsułki o zmodyfikowanym uwalnianiu, twarde, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909990570690
1809,Tamsulosinum,"Tanyz, kaps. o zmodyfikowanym uwalnianiu, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990430895
1810,Tamsulosinum,"Uprox XR, tabl. o przedł. uwalnianiu, 0,4 mg",30 szt.,05909991191221
1811,Tamsulosinum,"Uprox, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990566068
1812,Tamsulosinum,"Uprox, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",60 szt. (6 blist.po 10 szt.),05909990566075
1813,Tamsulosinum,"Urostad 0,4 mg kapsułka o zmodyfikowanym uwalnianiu, twarda, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt.,05909997226293
1814,Tamsulosinum,"Urostad 0,4 mg kapsułka o zmodyfikowanym uwalnianiu, twarda, kaps. o zmodyfikowanym uwalnianiu, twarde, 0,4 mg",30 szt. (3 blist.po 10 szt.),05909990566280
1815,Telmisartanum,"Actelsar, tabl., 40 mg",28 szt.,05909990891832
1816,Telmisartanum,"Actelsar, tabl., 80 mg",28 szt.,05909990891863
1817,Telmisartanum,"Micardis, tabl., 40 mg",28 szt.,05909990440726
1818,Telmisartanum,"Micardis, tabl., 80 mg",14 szt.,05909990440818
1819,Telmisartanum,"Micardis, tabl., 80 mg",28 szt.,05909990440825
1820,Telmisartanum,"Polsart, tabl., 40 mg",28 szt.,05909990936670
1821,Telmisartanum,"Polsart, tabl., 80 mg",28 szt.,05909990936700
1822,Telmisartanum,"Pritor, tabl., 40 mg",28 szt.,05909990463428
1823,Telmisartanum,"Pritor, tabl., 80 mg",28 szt.,05909990463527
1824,Telmisartanum,"Telmabax, tabl., 40 mg",28 szt.,05909991060220
1825,Telmisartanum,"Telmabax, tabl., 80 mg",28 szt.,05909991060268
1826,Telmisartanum,"Telmisartan Bluefish, tabletki, 40 mg",28 szt.,05909991391713
1827,Telmisartanum,"Telmisartan Bluefish, tabletki, 80 mg",28 szt.,05909991391720
1828,Telmisartanum,"Telmisartan EGIS, tabl. powl., 40 mg",28 szt.,05909991036768
1829,Telmisartanum,"Telmisartan EGIS, tabl. powl., 80 mg",28 szt.,05909991036867
1830,Telmisartanum,"Telmisartan EGIS, tabl. powl., 80 mg",28 szt.,05909991229801
1831,Telmisartanum,"Telmisartan Genoptim, tabletki, 40 mg",28 szt.,05909991388003
1832,Telmisartanum,"Telmisartan Genoptim, tabletki, 80 mg",28 szt.,05909991388034
1833,Telmisartanum,"Telmisartan Mylan, tabl., 40 mg",28 szt.,05909991018429
1834,Telmisartanum,"Telmisartan Mylan, tabl., 80 mg",28 tabl.,05909991018436
1835,Telmisartanum,"Telmisartan Orion, tabletki, 40 mg",28 szt.,05909991367329
1836,Telmisartanum,"Telmisartan Orion, tabletki, 80 mg",28 szt.,05909991367374
1837,Telmisartanum,"Telmisartanum 123ratio / Telmisartanum Teva B.V., tabl., 40 mg",28 szt.,05909990821839
1838,Telmisartanum,"Telmisartanum 123ratio / Telmisartanum Teva B.V., tabl., 80 mg",28 szt.,05909990821792
1839,Telmisartanum,"Telmix, tabl., 40 mg",28 szt.,05909990974863
1840,Telmisartanum,"Telmix, tabl., 40 mg",56 tabl.,05909990974887
1841,Telmisartanum,"Telmix, tabl., 80 mg",28 szt.,05909990974979
1842,Telmisartanum,"Telmix, tabl., 80 mg",56 tabl.,05909990974993
1843,Telmisartanum,"Telmizek, tabl., 40 mg",28 szt.,05909990902002
1844,Telmisartanum,"Telmizek, tabl., 80 mg",28 szt.,05909990902095
1845,Telmisartanum,"Telmizek, tabletki, 80 mg",28 szt.,05909991361969
1846,Telmisartanum,"Tezeo, tabl., 40 mg",28 szt.,05909991423551
1847,Telmisartanum,"Tezeo, tabl., 40 mg",28 tabl.,05909990818082
1848,Telmisartanum,"Tezeo, tabl., 40 mg",56 szt.,05909991086626
1849,Telmisartanum,"Tezeo, tabl., 40 mg",56 szt.,05909991423568
1850,Telmisartanum,"Tezeo, tabl., 80 mg",28 szt.,05909991423575
1851,Telmisartanum,"Tezeo, tabl., 80 mg",28 tabl.,05909990818150
1852,Telmisartanum,"Tezeo, tabl., 80 mg",56 szt.,05909991086633
1853,Telmisartanum,"Tezeo, tabl., 80 mg",56 szt.,05909991423582
1854,Telmisartanum,"Tolura 40 mg tabletki, tabl. powl., 40 mg",28 tabl.,05909997077604
1855,Telmisartanum,"Tolura 80 mg tabletki, tabl. powl., 80 mg",28 tabl.,05909997077673
1856,Telmisartanum,"Tolura, tabl., 40 mg",56 tabl.,05909997077628
1857,Telmisartanum,"Tolura, tabl., 40 mg",84 szt.,05909997077635
1858,Telmisartanum,"Tolura, tabl., 80 mg",56 tabl.,05909997077697
1859,Telmisartanum,"Tolura, tabl., 80 mg",84 szt.,05909997077703
1860,Telmisartanum,"Toptelmi, tabl., 40 mg",28 szt.,05909990840472
1861,Telmisartanum,"Toptelmi, tabl., 80 mg",28 szt.,05909990840557
1862,Telmisartanum,"Zanacodar, tabl., 40 mg",28 szt.,05909990941841
1863,Telmisartanum,"Zanacodar, tabl., 80 mg",28 szt.,05909990941926
1864,Telmisartanum + Amlodipinum,"Teldipin, tabl., 40+10 mg",28 szt.,05909991338626
1865,Telmisartanum + Amlodipinum,"Teldipin, tabl., 40+5 mg",28 szt.,05909991338541
1866,Telmisartanum + Amlodipinum,"Teldipin, tabl., 80+10 mg",28 szt.,05909991338787
1867,Telmisartanum + Amlodipinum,"Teldipin, tabl., 80+5 mg",28 szt.,05909991338701
1868,Telmisartanum + Hydrochlorothiazidum,"Actelsar HCT, tabl., 80+12,5 mg",28 szt.,05909991056247
1869,Telmisartanum + Hydrochlorothiazidum,"Actelsar HCT, tabl., 80+25 mg",28 szt.,05909991056773
1870,Telmisartanum + Hydrochlorothiazidum,"Gisartan, tabl., 80+12,5 mg",28 szt.,05909991080051
1871,Telmisartanum + Hydrochlorothiazidum,"Gisartan, tabl., 80+25 mg",28 szt.,05909991080174
1872,Telmisartanum + Hydrochlorothiazidum,"MicardisPlus, tabl., 80+12,5 mg",28 szt.,05909991020026
1873,Telmisartanum + Hydrochlorothiazidum,"MicardisPlus, tabl., 80+25 mg",14 szt.,05909990653010
1874,Telmisartanum + Hydrochlorothiazidum,"MicardisPlus, tabl., 80+25 mg",28 szt.,05909990653027
1875,Telmisartanum + Hydrochlorothiazidum,"Polsart Plus, tabl., 40+12,5 mg",28 szt.,05909991079451
1876,Telmisartanum + Hydrochlorothiazidum,"Polsart Plus, tabl., 80+12,5 mg",28 szt.,05909991079598
1877,Telmisartanum + Hydrochlorothiazidum,"Polsart Plus, tabl., 80+25 mg",28 szt.,05909991079703
1878,Telmisartanum + Hydrochlorothiazidum,"PritorPlus, tabl., 40+12,5 mg",28 szt.,05909991068325
1879,Telmisartanum + Hydrochlorothiazidum,"PritorPlus, tabl., 80+12,5 mg",28 szt.,05909991068424
1880,Telmisartanum + Hydrochlorothiazidum,"PritorPlus, tabl., 80+25 mg",28 szt.,05909990644834
1881,Telmisartanum + Hydrochlorothiazidum,"Telmisartan + HCT Genoptim, tabl., 40+12,5 mg",28 szt.,05909991388157
1882,Telmisartanum + Hydrochlorothiazidum,"Telmisartan + HCT Genoptim, tabl., 80+12,5 mg",28 szt.,05909991388188
1883,Telmisartanum + Hydrochlorothiazidum,"Telmisartan + HCT Genoptim, tabl., 80+25 mg",28 szt.,05909991388218
1884,Telmisartanum + Hydrochlorothiazidum,"Telmisartan/hydrochlorothiazide EGIS, tabl., 40+12,5 mg",28 szt.,05909991073732
1885,Telmisartanum + Hydrochlorothiazidum,"Telmisartan/hydrochlorothiazide EGIS, tabl., 80+12,5 mg",28 szt.,05909991073848
1886,Telmisartanum + Hydrochlorothiazidum,"Telmisartan/hydrochlorothiazide EGIS, tabl., 80+12,5 mg",28 szt.,05909991410667
1887,Telmisartanum + Hydrochlorothiazidum,"Telmisartan/hydrochlorothiazide EGIS, tabl., 80+12,5 mg",28 szt.,05909991421816
1888,Telmisartanum + Hydrochlorothiazidum,"Telmisartan/hydrochlorothiazide EGIS, tabl., 80+25 mg",28 szt.,05909991073909
1889,Telmisartanum + Hydrochlorothiazidum,"Telmix Plus, tabl., 40+12,5 mg",28 szt.,05909991417932
1890,Telmisartanum + Hydrochlorothiazidum,"Telmix Plus, tabl., 80+12,5 mg",28 szt.,05909991417963
1891,Telmisartanum + Hydrochlorothiazidum,"Telmix Plus, tabl., 80+25 mg",28 szt.,05909991418007
1892,Telmisartanum + Hydrochlorothiazidum,"Telmizek HCT, tabl., 40+12,5 mg",28 szt.,05909991082338
1893,Telmisartanum + Hydrochlorothiazidum,"Telmizek HCT, tabl., 80+12,5 mg",28 szt.,05909991082529
1894,Telmisartanum + Hydrochlorothiazidum,"Telmizek HCT, tabl., 80+25 mg",28 szt.,05909991082598
1895,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 40+12,5 mg",28 szt.,05909991095994
1896,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 40+12,5 mg",56 szt.,05909991096007
1897,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 80+12,5 mg",28 szt.,05909991096038
1898,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 80+12,5 mg",56 szt.,05909991096045
1899,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 80+25 mg",28 szt.,05909991096069
1900,Telmisartanum + Hydrochlorothiazidum,"Tezeo HCT, tabl., 80+25 mg",56 szt.,05909991096076
1901,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 40+12,5 mg",28 szt.,05909991045180
1902,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 40+12,5 mg",56 szt.,05909991045203
1903,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 40+12,5 mg",84 szt.,05909991045265
1904,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+12,5 mg",28 szt.,05909991045692
1905,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+12,5 mg",56 szt.,05909991045722
1906,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+12,5 mg",84 szt.,05909991045746
1907,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+25 mg",28 szt.,05909991045807
1908,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+25 mg",56 szt.,05909991045852
1909,Telmisartanum + Hydrochlorothiazidum,"Tolucombi, tabl., 80+25 mg",84 szt.,05909991045876
1910,Telmisartanum + Hydrochlorothiazidum,"Zanacodar Combi, tabl., 40+12,5 mg",28 szt.,05909991226381
1911,Telmisartanum + Hydrochlorothiazidum,"Zanacodar Combi, tabl., 40+12,5 mg",56 szt.,05909991330040
1912,Telmisartanum + Hydrochlorothiazidum,"Zanacodar Combi, tabl., 80+12,5 mg",28 szt.,05909991226398
1913,Telmisartanum + Hydrochlorothiazidum,"Zanacodar Combi, tabl., 80+12,5 mg",56 szt.,05909991330057
1914,Telmisartanum + Hydrochlorothiazidum,"Zanacodar Combi, tabl., 80+25 mg",28 szt.,05909991226404
